Question,Answer
What are the key objectives of Khulna University of Engineering & Technology?,"Khulna University of Engineering & Technology (KUET) is one of the leading public universities of Bangladesh focusing on Engineering and Technological Education and research. It aims to achieve excellence in education, research, and progression to address the country's needs, particularly in the South-Western region, and aims to be a 'Center of Excellence'."
What distinguishes KUET in the field of Engineering and Technological Education in Bangladesh?,"Khulna University of Engineering & Technology (KUET) is one of the leading public universities of Bangladesh focusing on Engineering and Technological Education and research. It aims to achieve excellence in education, research, and progression to address the country's needs, particularly in the South-Western region, and aims to be a 'Center of Excellence'."
When was KUET originally established and how did it evolve over time?,"KUET, Bangladesh was established in 1967 as Khulna Engineering College. It began its journey on 3 June 1974 following directions from Bangabandhu Sheikh Mujibur Rahman. It became an autonomous institute named Bangladesh Institute of Technology (BIT), Khulna in July 1986, and was later upgraded and renamed as KUET in September 2003."
Can you provide a brief historical background of KUET?,"KUET, Bangladesh was established in 1967 as Khulna Engineering College. It began its journey on 3 June 1974 following directions from Bangabandhu Sheikh Mujibur Rahman. It became an autonomous institute named Bangladesh Institute of Technology (BIT), Khulna in July 1986, and was later upgraded and renamed as KUET in September 2003."
What types of academic programs does KUET offer?,"KUET offers undergraduate and postgraduate engineering education, and postgraduate degrees in basic sciences. Approximately 5240 students study in 20 departments under 3 faculties. The undergraduate program enrolls about 1065 students annually through a competitive admission test. It also offers graduate studies and research in various programs, including M.Sc, M.Sc Engg, M.Phil, and Ph.D."
How does KUET structure its undergraduate and postgraduate programs?,"KUET offers undergraduate and postgraduate engineering education, and postgraduate degrees in basic sciences. Approximately 5240 students study in 20 departments under 3 faculties. The undergraduate program enrolls about 1065 students annually through a competitive admission test. It also offers graduate studies and research in various programs, including M.Sc, M.Sc Engg, M.Phil, and Ph.D."
Describe the location and size of the KUET campus.,"The university campus is located at the North-West corner of Khulna City Corporation, about 12 Km from the city center. It covers an area of 101 acres with vast greenery."
What are the notable features of KUET’s campus?,"The university campus is located at the North-West corner of Khulna City Corporation, about 12 Km from the city center. It covers an area of 101 acres with vast greenery."
What type of graduate degree does KUET offer in the field of Civil Engineering (B.Sc. Eng. CE)?,"['B.Sc. in Civil Engineering (B.Sc. Eng. CE)', 'B.Sc. in Electrical & Electronic Engineering (B.Sc. Eng. EEE)', 'B.Sc. in Mechanical Engineering (B.Sc. Eng. ME)']"
What type of graduate degree does KUET offer in the field of Electrical & Electronic Engineering (B.Sc. Eng. EEE)?,"['B.Sc. in Civil Engineering (B.Sc. Eng. CE)', 'B.Sc. in Electrical & Electronic Engineering (B.Sc. Eng. EEE)', 'B.Sc. in Mechanical Engineering (B.Sc. Eng. ME)']"
