Question,Answer
What is Khulna University of Engineering & Technology (KUET)?,"KUET is one of the technological universities in Bangladesh, originally established as Khulna Engineering College in 1974."
When was KUET established and what was its original name?,KUET was established in 1974 as Khulna Engineering College.
What was KUET known as in 1986?,"In 1986, it was converted to a degree-awarding autonomous institution and was called Bangladesh Institute of Technology (BIT), Khulna."
When did KUET get its current name and status?,KUET was upgraded and renamed as Khulna University of Engineering & Technology in 2003.
How large is the KUET campus?,KUET's campus extends over an area of 117 acres.
How is the KUET campus described?,"The KUET campus is described as having a beautiful plantation, various buildings, clean and wide roads, presenting a harmony in architecture and natural beauty."
What is the focus of KUET?,"KUET focuses on excellent teaching and research, and seeks new ways of developing standardized education and intellectuals."
What is KUET's mission?,"KUET's mission is to flourish the application of engineering knowledge through teaching, research, and artistry."
What is the vision of KUET?,"KUET aims to be acknowledged as an outstanding public university, contributing significantly to the nation."
What does KUET strive for?,"KUET strives to be a community of scholars and a center for learning and developing knowledge-based capabilities, promoting academic achievements and research excellence."
Where is the KUET campus located?,"The KUET campus is located at Fulbarigate, about 12 km north of Khulna City, near the Khulna-Dhaka highway."
What are the neighboring landmarks to KUET?,"Nearby landmarks include Govt B. L. College to the south, Teacher's Training College and Technical Training Center to the west, and Jahanabad Cantonment to the north."
How can one access the KUET campus?,"The campus can be accessed by bus, train, and air, with bus services available from all divisional cities of Bangladesh and train and air connections to various locations."
How many teaching departments does KUET have and under how many faculties?,"KUET has twenty teaching departments under three faculties: Civil Engineering, Electrical and Electronic Engineering, and Mechanical Engineering."
Which departments offer both undergraduate and postgraduate degrees?,"Several departments including Civil Engineering, Urban and Regional Planning, Electrical and Electronic Engineering, Computer Science and Engineering, and Mechanical Engineering offer both UG and PG degrees."
What are the institutes at KUET?,"Institutes at KUET include the Institute of Information and Communication Technology (ICT), Institute of Disaster Management (IDM), and Institute of Environment and Power Technology (IEPT)."
What undergraduate and postgraduate programs does KUET offer?,"KUET offers a four-year Bachelor of Science in Engineering, a five-year Bachelor of Architecture, Master of Science in Engineering, M.Sc., M. Phil, and Ph.D. programs."
What is the language of instruction at KUET?,The official language of instruction and examination at KUET is English.
What are the features of KUET's Central Library?,"KUET's Central Library operates with KOHA-Integrated Library System, offers online services, and contains a vast collection of books, thesis papers, journals, e-books, and e-journals."
Describe the campus of KUET.,"KUET's campus is 117 acres large with a green landscape and beautiful architectural constructions, located near Khulna, the third largest metropolitan city in Bangladesh."
What is the climate like in Khulna?,"Khulna has a tropical climate with three main seasons: winter (November-February), summer (March-June), and rainy (July-October), along with spring, autumn, and late autumn."
What are the accommodation facilities at KUET?,"KUET provides accommodation for over 2336 male and 367 female students in several residential halls, equipped with modern amenities and recreational facilities."
What sports and entertainment facilities does KUET offer?,"KUET offers both indoor and outdoor sports facilities, organizes sports competitions and cultural programs, and has a gymnasium and a well-equipped auditorium."
How does KUET conduct its undergraduate admission process?,"Undergraduate applicants must pass the HSC or equivalent exam with science and go through a rigorous Admission Test covering Physics, Chemistry, Mathematics, and English."
What are the requirements for postgraduate programs at KUET?,"Applicants for master's programs need a B.Sc. Eng degree or equivalent in the relevant field, with good academic records. Admissions include written and/or viva-voce tests."
How can international applicants apply to KUET?,"International applicants can apply throughout the year without an entry exam, but must have excellent academic records. Special quotas are available under SAARC countries' educational and cultural contract."
What are the research areas and activities in the CSE department at KUET?,"The CSE department focuses on areas like Soft Computing, Robotics, AI, Speech Processing, and more. They maintain ties with various institutions and are involved in numerous projects."
What co-curriculum activities are available in the CSE department at KUET?,"The CSE department offers clubs and groups for co-curriculum activities, such as the Hardware Acceleration Club, and organizes various events, seminars, and workshops."
What consultation services does the CSE department at KUET provide?,"The CSE department provides consultation services in areas like software requirement analysis, database design, network design, and development of automation systems."
What is the vision of the Computer Science and Engineering department at KUET?,"The vision is to develop students' analytical and technical skills, innovate in computer technology design and development, and enhance research facilities to meet national and international standards."
What is the mission of the Computer Science and Engineering department at KUET?,"The mission includes engaging in innovation, research, and development, being a pioneer in various fields of Computer Science and Engineering, and producing leaders for the IT sector with high ethical standards and professionalism."
What areas of study does the Computer Science and Engineering department at KUET focus on?,"The department focuses on areas like Advanced Computer Architecture, Bioinformatics, Computer Vision, Networking, IoT, Blockchain, and more."
What is the purpose of the Animation and Game Development Club (AGDC) at KUET?,"AGDC helps members develop games and animations, providing guidelines on design, attractiveness, and advertising, and encouraging careers in the industry."
What does the Machine Learning and Computing Intelligence Group (MLCIG) do at KUET?,MLCIG acquaints members with machine learning and computer intelligence for solving real-world problems and encourages careers in research and development of intelligent systems.
What are the objectives of the Robotics and Artificial Intelligence Club (RAIC) at KUET?,"RAIC supports interest in robotics, provides information and guidelines on building robots, and participates in various competitions."
What is the focus of the Cyber Security Club (CSC) at KUET?,"CSC focuses on developing skills in cyber security, understanding security standards, and providing resources for technical expertise."
What is the role of the English Speaking and Career Club (ESCC) at KUET?,"ESCC prepares members for scholarships, higher education, and jobs abroad, with seminars and workshops on English proficiency and helps with IELTS or GRE preparation."
What is the contact telephone number of the CSE department at KUET?,+880-24-77733318
What is the PABX number of the CSE department at KUET?,+880-24-77733351-70
What are the email addresses for the CSE department office and head at KUET?,"Office: office@cse.kuet.ac.bd, Head: head@cse.kuet.ac.bd"
What is the fax number of the CSE department at KUET?,+880-24-77733303
What is the website of the CSE department at KUET?,www.kuet.ac.bd/cse
Who is the first listed professor in the CSE department at KUET and what are their research fields?,"Dr. M. M. A. Hashem, with research fields including Biomedical/Bioinformatics, Cloud Computing, Artificial Intelligence, and others."
"What are the research areas of Dr. K. M. Azharul Hasan, a professor in the CSE department at KUET?","Big Data Engineering, Tensor Computations and Applications, High-Performance Computing, etc."
What does the Animation and Game Development Club (AGDC) at KUET focus on?,"AGDC assists members in developing games and animations, providing guidelines on design and advertising."
What is the focus of the Machine Learning and Computing Intelligence Group (MLCIG) at KUET?,MLCIG focuses on acquainting members with machine learning and computer intelligence to address complex real-world problems.
What are the objectives of the Cyber Security Club (CSC) at KUET?,CSC focuses on developing skills in cyber security and understanding underlying security standards.
What are the ten laboratories in the CSE department at KUET?,"The laboratories are Computer Language & Computing Laboratory, Computer Hardware & Interfacing Laboratory, Networking & Multimedia Laboratory, VDI Multi-Purpose Laboratory, Artificial Intelligence & Robotics Laboratory, Software & Web Engineering Laboratory, Digital Systems & VLSI Laboratory, Mobile Games & Apps Development Center, Mobile Computing Laboratory, and Natural Language Processing Laboratory."
What facilities are available in the Computer Language & Computing Laboratory at KUET?,"It includes a Windows 2012 Server, thirty client machines with dual boot, Internet access, and software like Java, Visual Basic, Visual C++, Prolog, PHP, Oracle, and SQL Server."
What is the purpose of the Digital Systems & VLSI Laboratory at KUET?,"It focuses on designing and implementing digital circuits and gaining knowledge about digital systems, equipped with modern tools like Scope Multimeters, Digital Experimental Trainer Kits, and more."
What resources does the Networking & Multimedia Laboratory at KUET have?,"It has COMPAQ Proliant ML550 Servers, Intranet Backbone Fiber Optic Switch, CISCO equipment, and various networking tools and software."
What is the focus of the Mobile Games & Apps Development Center at KUET?,"This center focuses on building and testing new apps and games, with resources like HP desktop computers, iMAC, Samsung VR Gear, iPad Pro, iPhone, Android devices, gaming consoles, and Smart TV."
What does the VDI Multi-Purpose Laboratory at KUET offer?,"It provides programming facilities with a Vnopn Server, sixty client machines, Internet access, and software like Java, Visual Basic, Visual C++, and CodeBlocks."
What is the Mobile Computing Laboratory at KUET dedicated to?,"It studies design principles for mobile computing systems, focusing on mobility management, data and service management, and security in mobile computing environments."
What does the Artificial Intelligence & Robotics Laboratory at KUET contain?,"It includes a Humanoid Robot (NAO), a Robotic Arm (Niryo Ned2), a Collaborative Robot (Mitsubishi MELFA), and focuses on intelligent systems and robotics."
What resources are available in the Natural Language Processing Laboratory at KUET?,"It offers highly configured PCs with GPU, Intel Core i7 processors, SSDs, a smart board, a speech acquisition system, and network accessories."
What is the definition of 'University' according to the academic ordinance?,University refers to the Khulna University of Engineering & Technology.
What does 'Syndicate' mean in the context of the University?,Syndicate refers to the Syndicate of the University.
What is the 'Academic Council' at the University?,The Academic Council is the Academic Council of the University.
Who is the 'Vice-Chancellor' in the University's context?,The Vice-Chancellor refers to the Vice-Chancellor of the University.
What is the role of a 'Dean' at the University?,A Dean is the head of a Faculty of the University.
What are the degree awarding departments at the University?,"Departments include Civil Engineering, Electrical and Electronic Engineering, Mechanical Engineering, and others."
What are the different degrees offered by the University?,"Degrees include Bachelor of Science in various engineering disciplines like Civil, Electrical & Electronic, Mechanical, and Computer Science & Engineering."
What are the guidelines for admission on transfer at the University?,"Transfer admission is limited, with conditions like a minimum CGPA of 3.0 and no F grades, and the student can transfer a maximum of 50% of the required theory courses."
